Cloudiness,Rainfall,Max Temperature,Min Temperature,Humidity,Mean Temperature,Reservoir Level inFeet,UnderGround Water Level in Meter,Flood Outcome
6.591398,234.3,30.525806,23.122581,83.846774,26.208387,67,2,0
7.571429,190,30.307143,23.114286,83.157407,26.09,60,1.5,0
7.043011,299.2,30.548387,23.070968,84.758065,26.055484,78,2,0
6.640449,236.4,30.343333,22.91,84.836207,26.046897,68,2,0
6.516129,244.6,31.2,23.33871,82.225806,26.776774,70,2.3,0
5.539326,89.3,31.296667,23.236667,79.405172,26.85931,66,2,0
5.688172,173.9,30.854839,23.032258,75.927419,26.794194,45,1,0
3.971429,55.4,31.72,22.912,71.521739,27.033913,35,0.5,0
4.411111,39,32.536667,23.27,70.358333,27.883333,30,0.5,0
5.139785,79.4,32.812903,23.63871,70.064516,27.830968,45,1,0
4.844444,37.9,33.723333,24.183333,66.733333,28.709333,35,1,0
7.172043,137.9,32.06129,24.158065,75.491935,27.674839,57,2,0
7.793478,278.5,29.951613,23.025806,84.5,26.176129,80,3,0
7.107143,223.8,30.603571,23.335714,83.080357,26.494286,70,2.5,0
8.204301,309.2,29.964516,23.119355,87.016129,25.998065,90,3,0
7.444444,342.9,30.506667,22.79,83.825,26.137333,120,5.4,1
6.688172,322.2,30.241935,23.135484,84.104839,26.316774,100,3.5,0
6.388889,137.9,30.84,23.546667,80.916667,26.894,89,2.5,0
5.688172,173.9,30.854839,23.032258,75.927419,26.794194,68,2,0
3.971429,55.4,31.72,22.912,71.521739,27.033913,35,1,0
4.411111,39,32.536667,23.27,70.358333,27.883333,23,0.5,0
5.139785,79.4,32.812903,23.63871,70.064516,27.830968,30,1,0
4.844444,37.9,33.723333,24.183333,66.733333,28.709333,20,1,0
7.172043,137.9,32.06129,24.158065,75.491935,27.674839,30,2,0
6.945652,236.5,32.051613,23.880645,77.933333,27.386667,80,3,0
7.390805,262.7,31.227586,23.544828,78.991379,27.041379,88,3.5,0
7.719101,347.8,30.354839,23.06129,84.657407,26.191852,120,5.4,1
7.898876,218.6,31.47,23.65,81.775862,27.074483,80,3.5,0
5.688172,118.8,32.16129,23.690323,76.95,27.123226,70,2,0
3.188889,61,32.083333,23.17,77.141667,27.095333,50,1.5,0
4.430108,90.3,31.587097,22.477419,72.483871,27.093548,78,2,0
6.344086,100.3,31.26129,22.229032,76.91129,26.494194,85,3,0
5.022222,90,33.04,23.653333,73.416667,28.059333,80,3,0
5.247312,87.4,32.483871,23.56129,75.33871,27.689032,80,3,0
7.011111,71.2,32.226667,23.69,77.258333,27.621333,75,2.5,0
6.688172,265.6,30.306452,22.867742,85.403226,26.150968,90,3.5,0
6.322581,436.5,30.248387,22.754839,85.862903,26.043226,134,6.3,1
7.071429,617.4,29.889286,22.425,85.455357,25.729286,160,8.1,1
6.88172,229.3,30.103226,22.73871,86.483871,25.855484,100,2.5,0
6.766667,370.3,30.176667,22.893333,86.683333,26.048,120,5.7,1
5.344086,96.8,31.248387,23.251613,81.282258,27.17871,60,2,0
4.588889,61.5,31.37,23.276667,77.816667,27.311333,34,1,0
5.075269,34.6,31.390323,22.793548,76.201613,26.818065,15,0.5,0
